week_start_date,district,average_temperature,average_rainfall
2018-12-24,Matara,26.36,6.74
2018-12-31,Matara,25.74,1.17
2019-01-07,Matara,26.03,3.83
2019-01-14,Matara,25.5,3.19
2019-01-21,Matara,26.19,1.2
2019-01-28,Matara,26.79,2.51
2019-02-04,Matara,26.56,7.86
2019-02-11,Matara,27.67,4.47
2019-02-18,Matara,27.53,1.19
2019-02-25,Matara,27.03,13.84
2019-03-04,Matara,26.71,5.19
2019-03-11,Matara,27.39,1.17
2019-03-18,Matara,27.7,2.37
2019-03-25,Matara,27.26,0.54
2019-04-01,Matara,27.68,0.41
2019-04-08,Matara,28.31,3.57
2019-04-15,Matara,27.46,8.97
2019-04-22,Matara,27.81,4.8
2019-04-29,Matara,27.35,8.99
2019-05-06,Matara,28.22,0.84
2019-05-13,Matara,27.84,2.99
2019-05-20,Matara,27.31,7.74
2019-05-27,Matara,27.72,5.79
2019-06-03,Matara,27.09,14.79
2019-06-10,Matara,27.83,6.61
2019-06-17,Matara,27.7,4.79
2019-06-24,Matara,27.8,3.87
2019-07-01,Matara,27.87,3.61
2019-07-08,Matara,27.14,3.69
2019-07-15,Matara,27.09,6.37
2019-07-22,Matara,26.99,3.17
2019-07-29,Matara,27.34,3.33
2019-08-05,Matara,26.96,11.9
2019-08-12,Matara,26.49,10.24
2019-08-19,Matara,26.36,15.29
2019-08-26,Matara,26.29,11.74
2019-09-02,Matara,26.91,4.94
2019-09-09,Matara,26.55,11.13
2019-09-16,Matara,25.95,17.54
2019-09-23,Matara,25.86,14.84
2019-09-30,Matara,25.91,7.81
2019-10-07,Matara,25.91,9.29
2019-10-14,Matara,25.98,26.57
2019-10-21,Matara,26.02,12.06
2019-10-28,Matara,25.62,14.86
2019-11-04,Matara,26.16,5.67
2019-11-11,Matara,26.54,3.09
2019-11-18,Matara,26.68,10.44
2019-11-25,Matara,26.49,12.29
2019-12-02,Matara,26.38,10.09
2019-12-09,Matara,26.42,3.93
2019-12-16,Matara,26.64,6.71
2019-12-23,Matara,26.66,1.4
2019-12-30,Matara,26.83,1.83
2020-01-06,Matara,27.16,0.51
2020-01-13,Matara,26.49,0.57
2020-01-20,Matara,28.22,0.39
2020-01-27,Matara,27.24,0.01
2020-02-03,Matara,28.09,0.7
2020-02-10,Matara,28.45,4.74
2020-02-17,Matara,28.53,0.41
